,Année,Lattitudes,Températures
197,1945,EQU-24N,0.1
198,1946,44N-64N,-0.05
199,1946,24N-44N,0.17
200,1946,EQU-24N,-0.02
201,1947,44N-64N,-0.13
202,1947,24N-44N,0.05
203,1947,EQU-24N,-0.03
204,1948,44N-64N,0.32
205,1948,24N-44N,0.01
206,1948,EQU-24N,-0.22
207,1949,44N-64N,0.17
208,1949,24N-44N,0.05
209,1949,EQU-24N,-0.23
210,1950,44N-64N,-0.31
211,1950,24N-44N,0.04
212,1950,EQU-24N,-0.3
213,1951,44N-64N,0.01
214,1951,24N-44N,0.12
215,1951,EQU-24N,0.0
216,1952,44N-64N,-0.09
217,1952,24N-44N,0.19
218,1952,EQU-24N,-0.01
219,1953,44N-64N,0.35
220,1953,24N-44N,0.14
221,1953,EQU-24N,0.08
222,1954,44N-64N,-0.21
223,1954,24N-44N,0.0
224,1954,EQU-24N,-0.14
225,1955,44N-64N,-0.11
226,1955,24N-44N,0.23
227,1955,EQU-24N,-0.29
228,1956,44N-64N,-0.48
229,1956,24N-44N,-0.09
230,1956,EQU-24N,-0.29
231,1957,44N-64N,0.22
232,1957,24N-44N,-0.11
233,1957,EQU-24N,0.06
234,1958,44N-64N,0.14
235,1958,24N-44N,0.12
236,1958,EQU-24N,0.26
237,1959,44N-64N,0.18
238,1959,24N-44N,0.05
239,1959,EQU-24N,0.07
240,1960,44N-64N,-0.07
241,1960,24N-44N,0.11
242,1960,EQU-24N,0.06
243,1961,44N-64N,0.37
244,1961,24N-44N,0.18
245,1961,EQU-24N,-0.07
246,1962,44N-64N,0.31
247,1962,24N-44N,0.14
248,1962,EQU-24N,-0.04
249,1963,44N-64N,0.31
250,1963,24N-44N,0.13
251,1963,EQU-24N,0.14
252,1964,44N-64N,-0.2
253,1964,24N-44N,-0.11
254,1964,EQU-24N,-0.14
255,1965,44N-64N,-0.24
256,1965,24N-44N,-0.12
257,1965,EQU-24N,-0.08
258,1966,44N-64N,-0.19
259,1966,24N-44N,0.09
260,1966,EQU-24N,0.16
261,1967,44N-64N,0.27
262,1967,24N-44N,-0.05
263,1967,EQU-24N,-0.11
264,1968,44N-64N,-0.02
265,1968,24N-44N,-0.09
266,1968,EQU-24N,-0.02
267,1969,44N-64N,-0.61
268,1969,24N-44N,-0.17
269,1969,EQU-24N,0.35
270,1970,44N-64N,-0.13
271,1970,24N-44N,-0.06
272,1970,EQU-24N,0.06
273,1971,44N-64N,0.01
274,1971,24N-44N,-0.1
275,1971,EQU-24N,-0.3
276,1972,44N-64N,-0.47
