,temperature_change_from_co2,gas_co2,population,cumulative_co2,gdp
0,-1.079681753307338,-0.7243144198838667,-1.0114830399463564,-0.9419182195548079,-0.8042160719130468
1,-1.073916486311904,-0.7241517822962359,-1.0107739883726057,-0.9408910459271497,-0.8026170705525497
2,-1.073916486311904,-0.7239388749087917,-1.01004891868891,-0.9397821747009216,-0.8018715020788051
3,-1.0681512193164697,-0.7231592001705127,-1.0093078528851052,-0.9386154626378312,-0.801363410368973
4,-1.0623859523210355,-0.7206526099562982,-1.0085504355578914,-0.9374277578054662,-0.8011222651082763
5,-1.0623859523210355,-0.7167483221708073,-1.00777630238917,-0.9361746830839671,-0.8002716133320518
6,-1.0566206853256015,-0.7126961820329247,-1.0069850813346832,-0.9348368864891203,-0.7989615552988668
7,-1.0508554183301673,-0.7077805841570745,-1.0061763920296953,-0.9332140867945904,-0.799073261424494
8,-1.0335596173438646,-0.7122624817992425,-0.985552458571261,-0.9317540116421237,-0.79398233367721
9,-1.0335596173438646,-0.7127937645855034,-0.9845273013177311,-0.9300160195568177,-0.7936905189525321
10,-1.0220290833529961,-0.7154955199048748,-0.9835234129904632,-0.9281628392986921,-0.7922331906702912
11,-1.0162638163575621,-0.7166507396182289,-0.9825298610748961,-0.9262143036989966,-0.788850580950337
12,-1.010498549362128,-0.7171307669223274,-0.9815412669759351,-0.9242489131453084,-0.7905129438968791
13,-1.0047332823666937,-0.7177123195084015,-0.9805268437341195,-0.9224050376991217,-0.7913557747482155
14,-1.0047332823666937,-0.7173732447802498,-0.9794794624822486,-0.9203283521464216,-0.7873038489243267
15,-0.9989680153712595,-0.7175644671560097,-0.9784375073710648,-0.9182436820021528,-0.7879603013765341
16,-0.9932027483758252,-0.7171307669223274,-0.9773661144065937,-0.9160735560601131,-0.7843718232569447
17,-0.987437481380391,-0.7159755472089733,-0.9762784852167741,-0.9137134196157052,-0.7834882114197754
18,-0.9816722143849569,-0.7135665395473374,-0.9751420694950022,-0.9110141932159962,-0.7795568540874496
19,-0.9701416803940884,-0.712937674208498,-0.9727379700208226,-0.9081487329344538,-0.7780951647324997
20,-0.9643764133986543,-0.7116375591898,-0.971528970603982,-0.905035341172508,-0.7728572921864874
21,-0.9586111464032201,-0.7108184571575499,-0.9702946793094765,-0.9017437027887456,-0.7722995146256917
22,-0.9528458794077859,-0.7099983694429504,-0.9690450949753039,-0.8978937335090836,-0.7695937750499628
23,-0.9528458794077859,-0.7093695041041109,-0.9677844955161043,-0.8940907311745439,-0.7701996603677429
24,-0.9470806124123516,-0.7073941966761574,-0.966512791783893,-0.8898421945356141,-0.7660630234929771
25,-0.9355500784214833,-0.7055706843299928,-0.9652297941906217,-0.885379524901352,-0.7592994538859954
26,-0.9240195444306151,-0.7047328543331064,-0.9639254848800559,-0.88020063782518,-0.7582401414957829
27,-0.9182542774351808,-0.7049309764853113,-0.9593961366685436,-0.8746959473565393,-0.7617892697104109
28,-0.9067237434443125,-0.7011429992170352,-0.9580869949428708,-0.8696156297047558,-0.754640685075362
29,-0.9009584764488783,-0.6997699437044907,-0.9568158944453579,-0.8640821854269638,-0.7538964882066091
30,-0.9009584764488783,-0.6995866067875249,-0.9572270247453103,-0.8586044983155457,-0.752011237025036
31,-0.8894279424580099,-0.6972130836904631,-0.9544052003975678,-0.8527409314578754,-0.748735931180917
32,-0.8778974084671415,-0.6962638715881082,-0.9506938663702745,-0.8464412236848395,-0.7443897595557687
33,-0.8721321414717073,-0.6957828586016604,-0.9520931135303082,-0.840690407021158,-0.7518970736871639
34,-0.8663668744762731,-0.6940135587847062,-0.9509151073019335,-0.8347280303155815,-0.7501249276939853
35,-0.8606016074808389,-0.6880077962305541,-0.9497611413135142,-0.8281285186336632,-0.7408257411982699
36,-0.8490710734899705,-0.6859891187792325,-0.9475751293096041,-0.8209818536404498,-0.7432387928326565
37,-0.8433058064945363,-0.6895602459306673,-0.9463691573583342,-0.8134815383062541,-0.7370772806459481
38,-0.8375405394991021,-0.6883547564175001,-0.9450909006549053,-0.8070813377206866,-0.7356212461940226
39,-0.8260100055082337,-0.6851729737940301,-0.9437269329184563,-0.7995718862928102,-0.7368417300267932
40,-0.802948937526497,-0.6916843913933618,-0.9360981570998249,-0.7933849793292406,-0.7371326844206088
41,-0.7971836705310628,-0.6867618937410666,-0.9370516227324559,-0.7871420283782582,-0.7335387200343406
42,-0.7914184035356285,-0.6745768885392897,-0.9355463090828267,-0.7789228087638912,-0.7229135468340008
43,-0.7856531365401943,-0.6678841053876908,-0.9318406621026566,-0.7714691904256047,-0.7188720155314248
44,-0.774122602549326,-0.6653844149499213,-0.9303741046480271,-0.7637693826229306,-0.7169225768270175
