,year,population,gdp,co2,cement_co2,cumulative_co2,co2_per_capita,co2_per_gdp,gas_co2,oil_co2,temperature_change_from_co2,temp,pred,pred_low,pred_high
42,1923,182822263.0,1432267654144.0,1948.624,0.20800000000000002,41691.626,24.334000000000003,2.9240000000000004,50.46,345.142,0.065,-0.26,-0.22313381753541586,-0.29339553443922717,-0.15287210063160453
43,1924,189057368.0,1486264295936.0,1763.576,0.21600000000000003,43458.742,24.89,3.337,57.25,336.523,0.066,-0.27,-0.22064085487459267,-0.290902571778404,-0.15037913797078134
44,1925,191524991.0,1512309657344.0,1825.489,14.427999999999999,45284.225,25.343,3.425,59.786,353.38500000000005,0.068,-0.22,-0.21714315589421218,-0.2874048727980235,-0.14688143899040085
45,1926,194038686.0,1603324958464.0,1976.678,14.741,47260.909,27.228,3.5460000000000003,65.889,358.442,0.069,-0.11,-0.2140399012703632,-0.28430161817417454,-0.14377818436655188
46,1927,199366247.0,1633787517696.0,1951.4009999999998,15.447000000000001,49426.965000000004,30.739,4.229,72.47,412.093,0.071,-0.22,-0.21047305418733658,-0.2807347710911479,-0.14021133728352525
47,1928,981927914.0,4301731218176.0,3621.3849999999998,33.251999999999995,121630.076,103.278,17.493000000000002,81.41,490.765,0.129,-0.2,-0.11918833126217121,-0.18945004816598254,-0.04892661435835988
48,1929,1500267957.0,5058373461760.0,4006.498,35.246,129903.932,114.487,19.455,101.797,540.113,0.139,-0.36,-0.14962047993408503,-0.21988219683789637,-0.0793587630302737
49,1930,1513643961.0,4857344784896.0,3641.986,33.022999999999996,133545.921,105.508,18.811,103.36800000000001,489.47299999999996,0.14200000000000002,-0.16,-0.14008367031137187,-0.2103453872151832,-0.06982195340756053
50,1931,1540861992.0,4674666652928.0,3206.739,27.544,136761.954,96.07300000000001,18.454,91.49,464.81399999999996,0.149,-0.09,-0.1322697046694405,-0.20253142157325182,-0.06200798776562916
51,1932,1543532298.0,4439861298176.0,2837.52,21.332,139587.242,85.716,17.816,85.445,434.793,0.14800000000000002,-0.16,-0.1213724472840025,-0.19163416418781382,-0.05111073038019116
52,1933,1558241797.0,4446888621568.0,2979.8199999999997,20.963,142567.064,88.61800000000001,18.235,87.40100000000001,481.251,0.14900000000000002,-0.28,-0.1150744837821908,-0.18533620068600215,-0.04481276687837947
53,1934,1573127882.0,4643819671808.0,3209.8140000000003,25.002,145776.876,94.29,19.049,97.935,497.564,0.153,-0.12,-0.1121971711047623,-0.18245888800857363,-0.04193545420095096
54,1935,1588194563.0,4912568797184.0,3341.617,27.691,149118.496,95.83500000000001,18.555,106.816,536.5540000000001,0.155,-0.2,-0.10873856661806183,-0.17900028352187317,-0.0384768497142505
55,1936,1617757085.0,5210711032320.0,3656.366,33.591,152799.14800000002,101.38600000000001,18.778,120.092,589.729,0.16,-0.14,-0.10738102423833056,-0.1776427411421419,-0.03711930733451922
56,1937,1618880369.0,5436591696896.0,3902.109,35.497,156673.855,109.594,18.761,134.324,659.174,0.161,-0.03,-0.10146801306965006,-0.1717297299734614,-0.031206296165838726
57,1938,1664251048.0,5471455624704.0,3605.3089999999997,33.894,160309.974,101.322,17.612000000000002,128.83499999999998,634.595,0.168,0.0,-0.09687041435528698,-0.16713213125909832,-0.02660869745147565
58,1939,1063369098.0,4624218515456.0,3238.44,30.044,124503.458,92.925,15.39,135.41,643.356,0.143,-0.02,-0.13321225909633677,-0.2034739760001481,-0.06295054219252544
59,1940,1073129574.0,4710632272384.0,3396.853,27.126,127900.307,86.394,14.79,145.773,680.269,0.147,0.13,-0.12837865087363842,-0.19864036777744976,-0.05811693396982709
60,1941,1122364563.0,5516527322112.0,4033.34,37.748,166478.893,97.06099999999999,15.206,151.36499999999998,700.017,0.161,0.19,-0.040167442718619585,-0.11042915962243091,0.030094274185191748
61,1942,1065869609.0,5592997790720.0,4162.775,35.39,170152.536,96.19,14.895,164.136,653.276,0.156,0.07,-0.026807868494142503,-0.09706958539795384,0.04345384840966883
62,1943,1057482612.0,5752370370944.0,4194.181,31.292,173637.66199999998,95.523,14.026,181.115,699.599,0.155,0.09,-0.020352256662138593,-0.09061397356594993,0.04990946024167274
