,Année,Saisons,Températures
225,1992,Eté,-0.05
226,1993,Hiver,0.37
227,1993,Eté,0.12
228,1994,Hiver,0.17
229,1994,Eté,0.35
230,1995,Hiver,0.76
231,1995,Eté,0.46
232,1996,Hiver,0.35
233,1996,Eté,0.24
234,1997,Hiver,0.43
235,1997,Eté,0.46
236,1998,Hiver,0.71
237,1998,Eté,0.73
238,1999,Hiver,0.77
239,1999,Eté,0.33
240,2000,Hiver,0.64
241,2000,Eté,0.44
242,2001,Hiver,0.43
243,2001,Eté,0.6
244,2002,Hiver,0.93
245,2002,Eté,0.62
246,2003,Hiver,0.63
247,2003,Eté,0.69
248,2004,Hiver,0.85
249,2004,Eté,0.5
250,2005,Hiver,0.7
251,2005,Eté,0.74
252,2006,Hiver,0.81
253,2006,Eté,0.72
254,2007,Hiver,1.16
255,2007,Eté,0.67
256,2008,Hiver,0.56
257,2008,Eté,0.59
258,2009,Hiver,0.72
259,2009,Eté,0.69
260,2010,Hiver,0.8
261,2010,Eté,0.86
262,2011,Hiver,0.55
263,2011,Eté,0.72
264,2012,Hiver,0.71
265,2012,Eté,0.84
266,2013,Hiver,0.69
267,2013,Eté,0.72
268,2014,Hiver,0.83
269,2014,Eté,0.82
270,2015,Hiver,1.15
271,2015,Eté,0.98
272,2016,Hiver,1.66
273,2016,Eté,1.09
274,2017,Hiver,1.3
275,2017,Eté,0.96
276,2018,Hiver,1.25
277,2018,Eté,0.87
278,2019,Hiver,1.13
279,2019,Eté,1.1
280,2020,Hiver,1.55
281,2020,Eté,1.11
282,2021,Hiver,1.14
283,2021,Eté,1.09
284,2022,Hiver,1.18
285,2022,Eté,1.11
286,2023,Hiver,1.22
287,2023,Eté,1.39
